,country,city_name,code,guide_type,title
170,Germany,Munchen,34163,여행편의,[플레이유심]데이터2배제공 이벤트중 KPN/쓰리/EU 유럽유심 (공항수령무료/출국전일가능)
171,Gibraltar,Gibraltar,77818,가이드 투어,말라가 : 지브롤터 일일 투어
172,Gibraltar,Gibraltar,77817,가이드 투어,에스테포나 : 지브롤터 일일 투어
173,Gibraltar,Gibraltar,77816,가이드 투어,마르베야 : 지브롤터 일일 투어
174,Gibraltar,Gibraltar,77815,가이드 투어,푸엔히올라 : 지브롤터 일일 투어
175,Gibraltar,Gibraltar,77814,가이드 투어,토레몰리노스 : 지브롤터 일일 투어
176,Spain,Malaga,77824,가이드 투어,말라가 출발 : 지브롤터 쇼핑 투어
177,Gibraltar,Gibraltar,77811,가이드 투어,지브롤터 : 자연 속 돌고래와 함께하는 보트 투어
178,Gibraltar,Gibraltar,76722,가이드 투어,지브롤터 : 관광도 하고 쇼핑도 하는 일석이조 투어
179,Gibraltar,Gibraltar,34882,가이드 투어,지브롤터 돌고래 돌핀 크루즈 투어 티켓
180,Gibraltar,Gibraltar,34868,가이드 투어,세비야에서 출발하는 '지브롤터' 원데이 가이드 투어
181,Croatia,Zagreb,80348,가이드 투어,[자그레브 출발] 슬로베니아 일일투어 / 포스토이나 동굴+블레드 (크로아티아/슬로베니아) 
182,Croatia,Plitvice,75738,가이드 투어,"자그레브 출발/ 라스토케, 플리트비체 투어와 자다르 셔틀을 한번에 (크로아티아)"
183,Croatia,Plitvice,75736,가이드 투어,"자그레브 출발/라스토케, 플리트비체 투어와 스플리트 셔틀을 한번에 (크로아티아) "
184,Croatia,Dubrovnik,59124,스냅촬영,[스냅] 별밤 투어 두브로브니크 스르지 산 야경을 한방에 완전 정복 (크로아티아)
185,Croatia,Dubrovnik,75732,가이드 투어,크로아티아! 두브로브니크 스르지산 전망대 투어 (크로아티아)
186,Croatia,Zagreb,53136,가이드 투어,"[투어] 이스트라반도 / 로비니, 모토분 투어 (크로아티아)"
187,Croatia,Plitvice,33722,여행편의,[투어] 자그레브 - 플리트비체 왕복 셔틀 서비스 
188,Croatia,Varazdin,75735,가이드 투어,자그레브 출발 자그레브 근교 트라코스찬 바라즈딘 당일투어 (크로아티아)
